Data;Załadunek;Importer;Towar;Waga;Cena;Transport;Plac;Wartość;Faktura;Firma;Kierunek;Kod odpadu;Reklamacja;LS;Skąd;;
2026-03-26;2026-03-25;TM Recycling;folia LDPE;5,780;2 310,00;751,00;2 180,07;13 351,80;85/03/2026;Ewrant;Hohenwestedt;150102;;219413;EWRANT;;
2026-03-26;2026-03-25;TM Recycling;paski PP;0,310;462,00;40,00;332,97;143,22;85/03/2026;Ewrant;Hohenwestedt;150102;;219413;EWRANT;;
2026-03-26;2026-03-25;TM Recycling;versandaschen;1,010;-84,00;131,00;-213,70;-84,84;85/03/2026;Ewrant;Hohenwestedt;150102;;219413;EWRANT;;
2026-03-30;;Recyclog/Recykler;1.04;13,380;462,00;1 250,00;368,58;6 181,56;9/03/2026, ;Midass;Schwedt;150101;;600286858;EWRANT;;
2026-03-31;;Recyclog/Recykler;1.04;20,329;462,00;1 250,00;400,51;9 392,00;9/03/2026, ;Midass;Schwedt;150101;21,220;600286803;EWRANT;;
2026-03-31;;Recyclog/Recykler;1.04;16,940;462,00;1 250,00;388,21;7 826,28;9/03/2026, ;Midass;Schwedt;150101;;600286855;EWRANT;;
2026-03-31;;Recyclog/Recykler;1.11;13,400;819,00;1 250,00;725,72;10 974,60;9/03/2026, ;Midass;Schwedt;150101;;600287423;EWRANT;;
2026-03-31;;Recyclog;bibuła;15,876;75,00;0,00;75,00;1 190,70;;Ewrant;Lehnice;150101;;186520 ;EWRANT;;
2026-03-31;;Recyclog;bibuła;2,200;20,00;;20,00;44,00;;Ewrant;Lehnice;150101;;186520 ;EWRANT;;
2026-04-01;;Melosch/Recykler;1.04;23,720;441,00;1 250,00;388,30;10 460,52;WDT-1,;Midass;Schwedt;150101;;BV26020464;EWRANT;;
2026-04-01;;EkoTrade;1.04;23,040;370,00;-50,00;372,17;8 524,80;,17/04/2026;Ewrant;Schwedt;150101;24,000;600288299;EWRANT;;
2026-04-01;;Recyclog;Bibuła czarny;2,200;84,00;0,00;84,00;184,80;6/04/2026;Ewrant;LEHNICE;191201;;2026040279;EWRANT;;
2026-04-01;;Recyclog;Bibuła kolor;15,876;315,00;0,00;315,00;5 000,94;6/04/2026;Ewrant;Lehnice;191201;;2026040279;EWRANT;;
2026-04-01;;Recyclog/Recykler;1.04;17,041;462,00;1 250,00;388,65;7 872,94;WDT/1/04/2026, ;Midass;Schwedt;150101;19,700;600287999;EWRANT;;
2026-04-02;;EkoTrade/Recykler;1.04;19,800;370,00;-50,00;372,53;7 326,00;,17/04/2026;Ewrant;Schwedt;150101;;600288300;EWRANT;;
2026-04-03;;Lamix;3.05;22,140;1 180,00;0,00;1 180,00;26 125,20;1/04/2026;Antra;Witnica;030308;;bdo;EWRANT;;
2026-04-07;;Recyclog/Recykler;1.04;23,500;462,00;1 250,00;408,81;10 857,00;WDT/2/04/2026, 10/042026;Midass;Schwedt;150101;;600288030;EWRANT;;
2026-04-08;;EkoTrade/Recykler;1.04;;;;;0,00;;Ewrant;Schwedt;150101;;600287600;EWRANT;;
2026-04-08;;Recyclog/Recykler;1.04;20,520;462,00;1 250,00;401,08;9 480,24;WDT/2/04/2026, 10/042026;Midass;Schwedt;150101;;600288031;EWRANT;;
2026-04-08;;Recyclog/Recykler;1.04;22,000;462,00;1 250,00;405,18;10 164,00;WDT/2/04/2026, 10/042026;Midass;Schwedt;150101;;600289057;EWRANT;;
2026-04-08;;TM Recykling;folia 50/50;4,160;155,40;615,00;7,56;646,46;12/04/2026;Ewrant;Hohenwestedt;150102;;220362;EWRANT;;
2026-04-08;;TM Recykling;folia LDPE;5,970;4,20;882,00;-143,54;25,07;12/04/2026;Ewrant;Hohenwestedt;150102;;220362;EWRANT;;
2026-04-08;;TM Recykling;big bag biały;2,090;50,40;309,00;-97,45;105,34;12/04/2026;Ewrant;Hohenwestedt;150102;;220362;EWRANT;;
2026-04-08;;TM Recykling;big bag;0,700;4,20;103,00;-142,94;2,94;12/04/2026;Ewrant;Hohenwestedt;150102;;220362;EWRANT;;
2026-04-08;;TM Recykling;paski PET;0,300;113,40;44,00;-33,27;34,02;12/04/2026;Ewrant;Hohenwestedt;150102;;220362;EWRANT;;
2026-04-08;;TM Recykling;folia LDPE;4,080;2 192,40;709,00;2 018,63;8 944,99;12/04/2026;Ewrant;Hohenwestedt;150102;;220362;EWRANT;;
2026-04-08;;TM Recykling;Paloxen;0,320;512,40;47,00;365,53;163,97;12/04/2026;Ewrant;Hohenwestedt;150102;;220362;EWRANT;;
2026-04-08;;Recyclog;Bibuła;16,090;441,00;0,00;441,00;7 095,69;4/04/2026;Antra;Kimberly-Clark;191201;;186927;EWRANT;;
2026-04-09;;Recyclog/Recykler;1.04;22,540;462,00;1 250,00;406,54;10 413,48;WDT/2/04/2026, 10/042026;Midass;Schwedt;150101;;600288033;EWRANT;;
2026-04-10;;Recyclog/Recykler;1.04;23,700;462,00;1 250,00;409,26;10 949,40;WDT/2/04/2026, 10/042026;Midass;Schwedt;150101;;600288023;EWRANT;;
2026-04-13;;Recyclog;1.04;21,880;462,00;1 250,00;404,87;10 108,56;4/04/2026;Antra;Schwedt;150101;;600289523;ZUO;;ZUO
2026-04-14;;Melosch/Recykler;1.04;23,220;441,00;1 250,00;387,17;10 240,02;WDT/3/04/2026, ;Midass;Schwedt;150101;;BV26020465;;;
2026-04-14;;Recyclog/Recykler;1.04;17,220;462,00;1 250,00;389,41;7 955,64;WDT/4/04/2026,;Midass;Schwedt;150101;;600289522;;;
2026-04-15;;Recyclog/Recykler;1.04;22,720;462,00;1 250,00;406,98;10 496,64;WDT/4/04/2026,;Midass;Schwedt;150101;;600289527;;;
2026-04-15;;Recyclog/Recykler;1.04;18,200;462,00;1 250,00;393,32;8 408,40;WDT/4/04/2026,;Midass;Schwedt;150101;;600289528;;;
2026-04-15;;Recyclog/Recykler;1.11;17,200;819,00;1 250,00;746,33;14 086,80;WDT/4/04/2026,;Midass;Schwedt;150101;;600289480;;;
2026-04-16;;Recyclog/Recykler;1.04;17,100;462,00;1 250,00;388,90;7 900,20;WDT/4/04/2026,;Midass;Schwedt;150101;;600289532;;;
2026-04-17;;Recyclog/Recykler;1.04;18,040;462,00;1 250,00;392,71;8 334,48;WDT/4/04/2026,;Midass;Schwedt;150101;;600289533;;;
2026-04-17;;Recyclog;1.04;24,520;462,00;1 250,00;411,02;11 328,24;20/04/2026, ;Ewrant;Schwedt;150101;;600289540;;;
2026-04-17;;Recyclog;bibuła kolor;21,200;399,00;0,00;399,00;8 458,80;45/04/2026;Ewrant;Dettelbach;150101;;187914 ;EWRANT;;
2026-04-20;;Recyclog;1.04;23,960;462,00;1 250,00;409,83;11 069,52;45/04/2026;Ewrant;Schwedt;150101;;600289539;EWRANT;;
2026-04-20;2026-04-17;Recyclog;gilza;24,260;336,00;2 184,00;245,98;8 151,36;45/04/2026;Ewrant;Trebsen;150101;;49093 ;EWRANT;;
2026-04-21;;Melosch/Recykler;1.04;22,840;441,00;1 250,00;386,27;10 072,44;WDT/4/05/2026;Midass;Schwedt;150101;;BV26020466;EWRANT;;
2026-04-21;;Recyclog;Papier woskowy;;;;;0,00;;;Eilenburg;;;2026041344;;;
2026-04-22;;Recyclog;1.04;24,260;462,00;1 250,00;410,47;11 208,12;45/04/2026;Ewrant;Schwedt;150101;;600290595;EWRANT;;
2026-04-22;;Recyclog;1.04;23,700;462,00;1 250,00;409,26;10 949,40;45/04/2026;Ewrant;Schwedt;150101;;600290607;EWRANT;;
2026-04-22;;TM Recykling;folia 98/02;0,939;261,00;620,00;-399,28;245,08;7/05/2026;Ewrant;Hohenwestedt;150102;;221999;EWRANT;;
2026-04-22;;TM Recykling;folia 80/20;4,140;101,00;;101,00;418,14;7/05/2026;Ewrant;Hohenwestedt;150102;;221999;EWRANT;;
2026-04-22;;TM Recykling;folia 50/50;1,780;66,00;;66,00;117,48;7/05/2026;Ewrant;Hohenwestedt;150102;;221999;EWRANT;;
2026-04-22;;TM Recykling;Versandtashen;1,420;0,10;;0,10;0,14;7/05/2026;Ewrant;Hohenwestedt;150102;;221999;EWRANT;;
2026-04-22;;TM Recykling;big bag biały;2,360;36,00;;36,00;84,96;7/05/2026;Ewrant;Hohenwestedt;150102;;221999;EWRANT;;
2026-04-22;;TM Recykling;big bag;0,470;0,10;;0,10;0,05;7/05/2026;Ewrant;Hohenwestedt;150102;;221999;EWRANT;;
2026-04-22;;TM Recykling;PET biały;1,180;56,00;;56,00;66,08;7/05/2026;Ewrant;Hohenwestedt;150102;;221999;EWRANT;;
2026-04-22;;TM Recykling;PET mix;0,190;1,00;;1,00;0,19;7/05/2026;Ewrant;Hohenwestedt;150102;;221999;EWRANT;;
2026-04-22;;TM Recykling;folia LDPE;1,501;561,00;;561,00;842,06;7/05/2026;Ewrant;Hohenwestedt;150102;;221999;EWRANT;;
2026-04-22;;TM Recykling;paski PP;0,600;91,00;;91,00;54,60;7/05/2026;Ewrant;Hohenwestedt;150102;;221999;EWRANT;;
2026-04-22;;TM Recykling;Verbundrollen;2,360;0,10;;0,10;0,24;7/05/2026;Ewrant;Hohenwestedt;150102;;221999;EWRANT;;
2026-04-23;;Recyclog;1.04;23,460;462,00;1 250,00;408,72;10 838,52;45/04/2026;Ewrant;Schwedt;150101;;600290600;EWRANT;;
2026-04-24;;Recyclog;1.04;22,620;462,00;1 250,00;406,74;10 450,44;45/04/2026;Ewrant;Schwedt;150101;;600290605;EWRANT;;
2026-04-24;;Recyclog;1.04;15,820;462,00;1 250,00;382,99;7 308,84;45/04/2026;Ewrant;Schwedt;150101;;600290590;EWRANT;;
2026-04-24;;Recyclog;1.11;13,440;819,00;1 250,00;725,99;11 007,36;45/04/2026;Ewrant;Schwedt;150101;;600289481;EWRANT;;
2026-04-27;;RLG;1.04;19,020;430,00;;430,00;8 178,60;6/05/2026;Ewrant;EISEN;150101;;A200-149944;EWRANT;;
2026-04-28;;Melosch/Recykler;1.04;22,780;105,00;;105,00;2 391,90;6/05/2026;Midass;Schwedt;150101;;BV206020467;EWRANT;;
2026-04-28;;Recyclog;3.05;;;;;0,00;;Antra;Glückstadt;030308;;188635;EWRANT;;
2026-04-28;;Recyclog;1.04;20,620;105,00;;105,00;2 165,10;2/05/2026;Ewrant;Schwedt;150101;;600291521;EWRANT;;
2026-04-28;;Recyclog;1.04;24,280;110,00;;110,00;2 670,80;2/05/2026;Ewrant;Schwedt;150101;;600291516;EWRANT;;
2026-04-28;;Recyclog;1.11;14,180;195,00;;195,00;2 765,10;2/05/2026;Ewrant;Schwedt;150101;;600291863;EWRANT;;
2026-04-29;;Recyclog;1.04;23,440;110,00;;110,00;2 578,40;2/05/2026;Ewrant;Schwedt;150101;;600289541;EWRANT;;
2026-04-30;;Recyclog;1.04;19,500;110,00;;110,00;2 145,00;2/05/2026;Ewrant;Schwedt;150101;;600291528;EWRANT;;
2026-04-30;;Recyclog;1.04;19,140;110,00;;110,00;2 105,40;2/05/2026;Ewrant;Schwedt;150101;;600291529;EWRANT;;
2025-01-02;;Recyclog;01.04;20,92;483;1 250,00;423,25;10 104,36;01.01.2025;Ewrant;Schwedt;150101;20,92;600226866;EWRANT;;
2025-01-02;;Recyclog;01.04;25,269;483;1 250,00;433,53;12 204,93;01.01.2025;Ewrant;Schwedt;150101;26,46;600226868;EWRANT;;
2025-01-03;2025-01-02;Recyclog;bibuła;23,15;714;2 775,00;594,13;16 529,10;01.01.2025;Ewrant;Penig;150101;23,22;2025010001;EWRANT;;
2025-01-03;;Recyclog;1.11;18,26;924;1 250,00;855,54;16 872,24;01.01.2025;Antra;Schwedt;150101;;600226862;EWRANT;;
2025-01-03;;Recyclog;01.04;24,52;483;1 250,00;432,02;11 843,16;01.01.2025;Ewrant;Schwedt;150101;24,52;600226867;EWRANT;;
2025-01-03;;Recyclog;01.04;27,08;483;1 250,00;436,84;13 079,64;01.01.2025;Ewrant;Schwedt;150101;27,08;600226869;EWRANT;;
2025-01-03;;TM Recycling;folia 98/02;14,19;1 268,00;0;1 268,00;17 992,92;04.01.2025;Ewrant;Hohenwestedt;150102;;175355;EWRANT;;
2025-01-03;;TM Recycling;folia 95/5;0,906;1 025,00;0;1 025,00;928,65;04.01.2026;Ewrant;Hohenwestedt;150102;;175355;EWRANT;;
2025-01-03;;TM Recycling;folia kolor poczta;3,464;4,2;0;4,2;14,55;04.01.2027;Ewrant;Hohenwestedt;150102;;175355;EWRANT;;
2025-01-07;;Recyclog;01.04;19,135;483;1 250,00;417,67;9 242,21;03.01.2025;Ewrant;Schwedt;150101;21,38;600227122;EWRANT;;
2025-01-07;;Recyclog;01.04;17,483;483;1 250,00;411,5;8 444,29;03.01.2025;Ewrant;Schwedt;150101;18,08;600227123;EWRANT;;
2025-01-08;;Recyclog;01.04;22,77;483;1 250,00;428,1;10 997,91;03.01.2025;Ewrant;Schwedt;150101;22,77;600227126;EWRANT;;
2025-01-08;;Recyclog;01.04;24,247;483;1 250,00;431,45;11 711,30;03.01.2025;Ewrant;Schwedt;150101;26,02;600227127;EWRANT;;
2025-01-09;;Recyclog;01.04;22,67;483;1 250,00;427,86;10 949,61;03.01.2025;Ewrant;Schwedt;150101;22,67;600227140;EWRANT;;
2025-01-09;;Recyclog;01.04;28,18;483;1 250,00;438,64;13 610,94;03.01.2025;Ewrant;Schwedt;150101;22,67;600227131;EWRANT;;
2025-01-10;;Recyclog;01.04;23,33;483;1 250,00;429,42;11 268,39;02.01.2025;Antra;Schwedt;150101;25,98;600227135;EWRANT;;
2025-01-10;;Recyclog;01.04;20,305;483;1 250,00;421,44;9 807,32;02.01.2025;Antra;Schwedt;150101;23,1;600227134;EWRANT;;
2025-01-13;;Recyclog;01.04;25,64;483;1 250,00;434,25;12 384,12;10.01.2025;Ewrant;Schwedt;150101;25,64;600228071;EWRANT;;
2025-01-14;;Recyclog;01.04;23,56;483;1 250,00;429,94;11 379,48;10.01.2025;Ewrant;Schwedt;150101;23,56;600228075;EWRANT;;
2025-01-14;;Recon-T;01.04;23,538;400;1 250,00;346,89;9 415,20;11.01.2025;Ewrant;Schwedt;150101;25,64;A25-01833;EWRANT;;
2025-01-15;;Recyclog;01.04;23,586;483;1 250,00;430;11 392,04;10.01.2025;Ewrant;Schwedt;150101;26,12;600228079;EWRANT;;
2025-01-15;;Recon-T;01.04;22,6;400;1 250,00;344,69;9 040,00;11.01.2025;Ewrant;Schwedt;150101;22,86;A25-01834;EWRANT;;
2025-01-15;;Recyclog;bibuła;24,37;714;2 775,00;600,13;17 400,18;10.01.2025;Ewrant;Penig;150101;24,37;2025010634;EWRANT;;
2025-01-16;;Recyclog;01.04;23,179;483;1 250,00;429,07;11 195,46;10.01.2025;Ewrant;Schwedt;150101;24,58;600228095;EWRANT;;
2025-01-16;;Recon-T;01.04;22,86;400;1 250,00;345,32;9 144,00;11.01.2025;Ewrant;Schwedt;150101;;A25-01835;EWRANT;;
2025-01-16;;Recyclog;02.06;15,18;882;1 250,00;799,65;13 388,76;05.01.2025;Antra;Schwedt;150101;;600228756;EWRANT;;
2025-01-17;;Recyclog;01.04;24,58;483;1 250,00;432,15;11 872,14;10.01.2025;Ewrant;Schwedt;150101;24,58;600228087;EWRANT;;
2025-01-17;;Recon-T;1.11;12,86;882;1 250,00;784,8;11 342,52;11.01.2025;Ewrant;Schwedt;150101;;A25-01808;EWRANT;;
2025-01-17;;TM Recycling;folia 98/02;8,101;1 361,00;0;1 361,00;11 025,46;13.01.2025;Ewrant;Hohenwestedt;150102;;176435;EWRANT;;
2025-01-17;;TM Recycling;folia 50/50;8,101;353;0;353;2 859,65;13.01.2025;Ewrant;Hohenwestedt;150102;;176435;EWRANT;;
2025-01-17;;TM Recycling;paski MIX;1,266;185;0;185;234,21;13.01.2025;Ewrant;Hohenwestedt;150102;;176435;EWRANT;;
2025-01-17;;TM Recycling;folia 80/20;0,648;605;0;605;392,04;13.01.2025;Ewrant;Hohenwestedt;150102;;176435;EWRANT;;
2025-01-17;;TM Recycling;folia 90/10;0,324;899;0;899;291,28;13.01.2025;Ewrant;Hohenwestedt;150102;;176435;EWRANT;;
2025-01-20;;Recon-T;01.04;26,84;400;1 250,00;353,43;10 736,00;18.01.2025;Ewrant;Schwedt;150101;;A25-01836;EWRANT;;
2025-01-20;;Recon-T;3.12;23,7;840;1 250,00;787,26;19 908,00;18.01.2025;Ewrant;Schwedt;150101;;A25-02594;EWRANT;;
2025-01-20;;Recyclog;01.04;22,464;483;1 250,00;427,36;10 850,11;08.01.2024;Antra;Schwedt;150101;22,64;600229104;EWRANT;;
2025-01-21;;Recyclog;01.04;23,16;483;1 250,00;429,03;11 186,28;17.01.2025;Ewrant;Schwedt;150101;23,16;600229121;EWRANT;;
2025-01-21;;Recon-T;01.04;26,98;400;1 250,00;353,67;10 792,00;10.01.2025;Antra;Schwedt;150101;;A25-02505;EWRANT;;
2025-01-22;;Recon-T;01.04;24,9;400;1 250,00;349,8;9 960,00;10.01.2025;Antra;Schwedt;150101;;A25-02506;EWRANT;;
2025-01-22;;Recyclog;01.04;24,84;483;1 250,00;432,68;11 997,72;17.01.2025;Ewrant;Schwedt;150101;24,84;600229111;EWRANT;;
2025-01-22;;EkoRecykling;01.04;28,38;330;1 250,00;285,95;9 365,40;19.01.2025;Ewrant;Schwedt;150101;;600229706;EWRANT;;
2025-01-23;;Recyclog;01.04;24,02;483;1 250,00;430,96;11 601,66;17.01.2025;Ewrant;Schwedt;150101;24,02;600229114;EWRANT;;
2025-01-23;;EkoRecykling;01.04;20,777;330;1 250,00;269,84;6 856,41;09.01.2025;Ewrant;Schwedt;150101;24,02;600229736;EWRANT;;
2025-01-23;;Recon-T;01.04;25,38;400;1 250,00;350,75;10 152,00;10.01.2025;Antra;Schwedt;150101;;A25-02507;EWRANT;;
2025-01-24;;Recon-T;01.04;23,238;400;1 250,00;346,21;9 295,20;10.01.2025;Antra;Schwedt;150101;24,96;A25-02508;EWRANT;;
2025-01-24;;Recyclog;01.04;24,88;483;1 250,00;432,76;12 017,04;17.01.2025;Ewrant;Schwedt;150101;24,88;600229118;EWRANT;;
2025-01-27;;Recyclog;01.04;24,646;483;1 250,00;432,28;11 904,02;01.02.2025;Ewrant;Schwedt;150101;25,54;600230329;EWRANT;;
2025-01-28;;Recyclog;01.04;24,52;400;1 250,00;349,02;9 808,00;01.02.2025;Ewrant;Schwedt;150101;;600230333;EWRANT;;
2025-01-28;;Recon-T;01.04;22,786;400;1 250,00;345,14;9 114,40;01.02.2025;Antra;Schwedt;150101;25,04;A25-03218;EWRANT;;
2025-01-29;;Recyclog;01.04;22,123;483;1 250,00;426,5;10 685,41;01.02.2025;Ewrant;Schwedt;150101;23,56;600230337;EWRANT;;
2025-01-29;;Recon-T;01.04;20,544;400;1 250,00;339,15;8 217,60;01.02.2025;Antra;Schwedt;150101;22,7;A25-03219;EWRANT;;
2025-01-30;;Recyclog;01.04;23,106;483;1 250,00;428,9;11 160,20;01.02.2025;Ewrant;Schwedt;150101;27,12;600230355;EWRANT;;
2025-01-30;;Recyclog;01.04;19,201;483;1 250,00;417,9;9 274,08;01.02.2025;Ewrant;Schwedt;150101;24,46;600230349;EWRANT;;
2025-01-30;;Recon-T;01.04;21,777;400;1 250,00;342,6;8 710,80;01.02.2025;Antra;Schwedt;150101;23,8;A25-03220;EWRANT;;
2025-01-31;;Recyclog;01.04;19,723;483;1 250,00;419,62;9 526,21;01.02.2025;Ewrant;Schwedt;150101;24,44;600230345;EWRANT;;
2025-02-03;;TM Recycling;folia 98/02;6,129;1 453,00;0;1 453,00;8 905,44;07.02.2025;Ewrant;Hohenwestedt;150102;;177765;EWRANT;;
2025-02-03;;TM Recycling;folia 95/5;0,721;1 180,00;0;1 180,00;850,78;07.02.2025;Ewrant;Hohenwestedt;150102;;177765;EWRANT;;
2025-02-03;;TM Recycling;folia LDPE;0,145;949;0;949;137,61;07.02.2025;Ewrant;Hohenwestedt;150102;;177765;EWRANT;;
2025-02-03;;TM Recycling;folia 80/20;1,082;613;0;613;663,27;07.02.2025;Ewrant;Hohenwestedt;150102;;177765;EWRANT;;
2025-02-03;;TM Recycling;folia 50/50;5,768;403;0;403;2 324,50;07.02.2025;Ewrant;Hohenwestedt;150102;;177765;EWRANT;;
2025-02-03;;TM Recycling;paski MIX;1,08;298;0;298;321,84;07.02.2025;Ewrant;Hohenwestedt;150102;;177765;EWRANT;;
2025-02-03;;TM Recycling;folia rolki białe;0,749;1 726,00;0;1 726,00;1 292,77;07.02.2025;Ewrant;Hohenwestedt;150102;;177765;EWRANT;;
2025-02-03;;TM Recycling;folia rolki kolor;1,701;508;0;508;864,11;07.02.2025;Ewrant;Hohenwestedt;150102;;177765;EWRANT;;
2025-02-03;;Recyclog;makulatura 1.04;22,25;483;1 250,00;426,82;10 746,75;08.02.2025;Ewrant;Schwedt;150101;25;600231691;EWRANT;;
2025-02-04;;Recyclog;bibuła;22,85;588;0;588;13 435,80;08.02.2025;Ewrant;Lehnice;191201;24,44;5022025;EWRANT;;
2025-02-04;;Recyclog;makulatura 1.04;28,5;483;1 250,00;439,14;13 765,50;08.02.2025;Ewrant;Schwedt;150101;;600231695;EWRANT;;
2025-02-05;;Recyclog;makulatura 1.04;26,32;483;1 250,00;435,51;12 712,56;08.02.2025;Ewrant;Schwedt;150101;;600231710;EWRANT;;
2025-02-05;;DEA Recykling;makulatura 1.02;23,059;290;0;290;6 687,11;14.02.2025;Ewrant;Eisenhüttenstadt;150101;;EKO365301101049;EWRANT;;
2025-02-06;;Recyclog;makulatura 1.04;25,98;483;1 250,00;434,89;12 548,34;08.02.2025;Ewrant;Schwedt;150101;;600231702;EWRANT;;
2025-02-06;;Recon-T;1.11;22,7;788,5;1 250,00;733,43;17 898,95;09.02.2025;Ewrant;Schwedt;150101;;A25-04916;EWRANT;;
2025-02-06;;DEA Recykling;makulatura 1.02;22,618;290;0;290;6 559,22;14.02.2025;Ewrant;Eisenhüttenstadt;150101;;A200-139574;EWRANT;;
2025-02-07;;Recyclog;makulatura 1.04;22,889;483;1 200,00;430,57;11 055,39;08.02.2025;Ewrant;Schwedt;150101;23,12;600231714;EWRANT;;
2025-02-10;;Recyclog;Bibuła;25,97;714;2 400,00;621,59;18 542,58;17.02.2025.;Ewrant;Penig;150101;;2025020002;EWRANT;;
2025-02-10;;Recyclog;makulatura 1.04;24,8;483;1 250,00;432,6;11 978,40;17.02.2025.;Ewrant;Schwedt;150101;;600232379;EWRANT;;
2025-02-10;;DEA Recykling;makulatura 1.02;21,438;290;0;290;6 217,02;14.02.2025;Ewrant;Eisenhüttenstadt;150101;;RLE1102134;EWRANT;;
2025-02-12;;TM Recycling;folia 98/02;6,63;1 436,00;0;1 436,00;9 520,68;19.02.2025;Ewrant;Hohenwestedt;150102;;179293;EWRANT;;
2025-02-12;;TM Recycling;folia 95/5;0,78;1 185,00;0;1 185,00;924,3;19.02.2025;Ewrant;Hohenwestedt;150102;;179293;EWRANT;;
2025-02-12;;TM Recycling;folia 80/20;0,78;575;0;575;448,5;19.02.2025;Ewrant;Hohenwestedt;150102;;179293;EWRANT;;
2025-02-12;;TM Recycling;folia 50/50;4,29;365;0;365;1 565,85;19.02.2025;Ewrant;Hohenwestedt;150102;;179293;EWRANT;;
2025-02-12;;TM Recycling;folia LDPE;1,46;483;0;483;705,18;19.02.2025;Ewrant;Hohenwestedt;150102;;179293;EWRANT;;
2025-02-12;;TM Recycling;śmieci;5,11;4,2;0;4,2;21,46;19.02.2025;Ewrant;Hohenwestedt;150102;;179293;EWRANT;;
2025-02-11;;Recyclog;makulatura 1.04;25,011;483;1 250,00;433,02;12 080,31;17.02.2025.;Ewrant;Schwedt;150101;26,08;600232383;EWRANT;;
2025-02-12;;Recon-T;makulatura 1.04;21,18;399;1 250,00;339,98;8 450,82;05.02.2025;Antra;Schwedt;150101;;A25-05059;EWRANT;;
2025-02-12;;Recyclog;makulatura 1.04;24,58;483;1 250,00;432,15;11 872,14;17.02.2025.;Ewrant;Schwedt;150101;;600232387;EWRANT;;
2025-02-12;;Recon-T;makulatura 1.04;23,72;399;1 250,00;346,3;9 464,28;05.02.2025;Antra;Schwedt;150101;;A25-05060;EWRANT;;
2025-02-13;;Recyclog;makulatura 1.04;25,8;483;1 250,00;434,55;12 461,40;17.02.2025.;Ewrant;Schwedt;150101;;600232391;EWRANT;;
2025-02-14;;Recon-T;makulatura 1.04;23,793;399;1 250,00;346,46;9 493,41;05.02.2025;Antra;Schwedt;150101;24,18;A25-05061;EWRANT;;
2025-02-13;;Recyclog;makulatura 1.04;21,34;483;1 250,00;424,42;10 307,22;17.02.2025.;Ewrant;Schwedt;150101;;600232400;EWRANT;;
2025-02-14;;Eko-Recykling;makulatura 1.04;22,62;330;0;330;7 464,60;20.02.2025;Ewrant;Schwedt;150101;;600232696;EWRANT;;
2025-02-14;;Melosch Recycling;3.18;20,36;1 932,00;2 000,00;1 833,77;39 335,52;06.02.2025;Antra;Spremberg;30308;;BV25008704;Antra (niszczarnia);;
2025-02-14;;Recyclog;makulatura 1.04;22,64;483;1 250,00;427,79;10 935,12;17.02.2025.;Ewrant;Schwedt;150101;;600232402;EWRANT;;
2025-02-14;;Recon-T;1.11;15,76;788,5;1 250,00;709,19;12 426,76;18.02.2025;Ewrant;Schwedt;150101;;A25-05919;EWRANT;;
2025-02-17;;DEA Recykling;makulatura 1.02;24,04;290;0;290;6 971,60;35/02/2025;Ewrant;Eisenhüttenstadt;150101;;EKO365301101120;EWRANT;;
2025-02-17;;Recyclog;makulatura 1.04;19,9;483;1 250,00;420,19;9 611,70;28.02.2025;Ewrant;Schwedt;150101;;600233439;EWRANT;;
2025-02-18;;Recyclog;makulatura 1.04;21,74;483;1 250,00;425,5;10 500,42;28.02.2025;Ewrant;Schwedt;150101;;600233446;EWRANT;;
2025-02-18;;Recyclog;02.06;19,67;639;0;639;12 569,13;28.02.2025;Ewrant;Glückstadt;150101;;EKA0000000000155349;EWRANT;;
2025-02-18;;DEA Recykling;makulatura 1.02;21,94;290;0;290;6 362,60;35/02/2025;Ewrant;Eisenhüttenstadt;150101;;RLE1102148;EWRANT;;
2025-02-19;;Eko-Recykling;makulatura 1.04;21,18;330;0;330;6 989,40;33/02/2025;Ewrant;Schwedt;150101;;600233637;EWRANT;;
2025-02-19;;Recyclog;makulatura 1.04;20,944;483;1 250,00;423,32;10 115,95;28.02.2025;Ewrant;Schwedt;150101;22;600233450;EWRANT;;
2025-02-20;;Eko-Recykling;makulatura 1.04;22,8;330;0;330;7 524,00;33/02/2025;Ewrant;Schwedt;150101;;600232993;EWRANT;;
2025-02-20;;Recyclog;makulatura 1.04;23,14;483;1 250,00;428,98;11 176,62;28.02.2025;Ewrant;Schwedt;150101;;600233453;EWRANT;;
2025-02-20;;DEA Recykling;makulatura 1.02;22,043;290;0;290;6 392,47;35/02/2025;Ewrant;Schwedt;150101;;RLE1102151;EWRANT;;
2025-02-21;;Recyclog;makulatura 1.04;14,123;483;1 250,00;394,49;6 821,41;28.02.2025;Ewrant;Schwedt;150101;14,5;600233457;EWRANT;;
2025-02-21;;Recon-T;makulatura 1.04;25,38;399;1 250,00;349,75;10 126,62;12.02.2025;Antra;Schwedt;150101;;A25-06597;EWRANT;;
2025-02-24;2025-02-23;Recyclog;bibuła;19,72;714;1 250,00;650,61;14 080,08;02.03.2025;Ewrant;Penig;150101;;2025020003;EWRANT;;
2025-02-24;;DEA Recykling;makulatura 1.02;23,38;290;0;290;6 780,20;03.03.2025;Ewrant;Eisenhüttenstadt;150101;;RLE1102154;EWRANT;;
2025-02-24;;TM Recycling;folia 98/02;2,893;1 357,00;0;1 357,00;3 925,80;01.03.2025;Ewrant;Hohenwestedt;150102;;181371;EWRANT;;
